candidate_id,program_id,score,timestamp,is_scholarship,hs_id
171048,1,7252,1,0,1490
173630,1,6245,2,0,2185
33004,1,6736,3,0,382
38473,1,4965,4,0,1026
58852,1,7970,5,0,909
43942,1,6022,6,1,195
64976,1,7618,7,1,3340
53468,1,5474,8,0,283
179971,1,7754,9,1,3398
67581,1,7887,10,0,2502
25882,1,6578,11,0,660
11736,1,5361,12,0,762
111702,1,5591,13,0,2634
57584,1,7149,14,0,1291
128775,1,6912,15,0,1834
71862,1,9133,16,1,1778
76677,1,7442,17,1,464
122055,1,4704,18,0,2587
91426,1,4792,19,1,3392
190290,1,9086,20,0,1449
38968,1,4624,21,1,1359
115756,1,6597,22,0,140
77306,1,5727,23,0,714
181122,1,7170,24,0,2487
146623,1,6945,25,0,2957
11007,1,7608,26,1,265
34628,1,6314,27,0,1498
103023,1,7303,28,0,1996
65606,1,4541,29,0,2474
36467,1,8592,30,0,247
66280,1,4134,31,1,2559
69239,1,6695,32,1,2737
166545,1,3125,33,0,1310
112280,1,7703,34,0,1756
69190,1,7029,35,0,596
140691,1,8269,36,0,3153
68985,1,4702,37,0,2262
185141,1,6969,38,0,591
136403,1,5708,39,0,2756
80106,1,5982,40,0,1064
100155,1,7981,41,1,402
160007,1,8530,42,0,1995
186231,1,6730,43,1,2122
31994,1,5250,44,0,1979
69318,1,7682,45,1,2931
127640,1,2073,46,0,2042
166908,1,7507,47,0,2651
124062,1,8589,48,1,2659
9527,1,5461,49,0,418
62834,1,6771,50,1,1177
144543,1,4623,51,0,1193
164545,1,6914,52,1,2559
175754,1,4522,53,0,1111
111195,1,7556,54,1,1677
594,1,7943,55,0,2371
110843,1,4542,56,0,631
84930,1,6091,57,0,1152
99165,1,7738,58,0,3459
195619,1,5441,59,0,3244
163737,1,8923,60,0,1942
26491,1,5545,61,0,1637
21891,1,6465,62,0,2118
32558,1,5257,63,0,2453
185250,1,6323,64,0,1309
155036,1,7280,65,0,2658
83991,1,8008,66,0,2162
156245,1,8489,67,0,1804
22680,1,7500,68,0,2624
34574,1,5836,69,0,2319
25254,1,3681,70,0,2232
94329,1,5510,71,0,1731
13148,1,6646,72,1,2836
165855,1,6193,73,0,491
83097,1,6619,74,1,1286
36615,1,5854,75,0,3038
50159,1,7199,76,0,1048
57975,1,5327,77,0,374
26828,1,7075,78,0,1109
98779,1,7006,79,0,2868
177184,1,4783,80,1,1309
38558,1,6830,81,0,808
141262,1,7071,82,0,2181
26289,1,5456,83,1,2540
64658,1,6245,84,0,1803
173005,1,7216,85,0,3165
65832,1,6529,86,0,3008
172086,1,7417,87,0,2735
87104,1,7235,88,0,1209
12442,1,8831,89,0,3003
99990,1,5082,90,0,1396
55514,1,6633,91,1,2622
179604,1,3931,92,0,2976
125843,1,5253,93,0,1332
18184,1,6092,94,0,2407
28341,1,6573,95,0,239
109420,1,6368,96,0,2048
134039,1,5952,97,0,2762
169085,1,5351,98,0,1763
171871,1,7207,99,0,597
164787,1,6528,100,0,1163
107412,1,4263,101,0,1157
1594,1,3875,102,1,76
163819,1,5289,103,0,2994
71627,1,6067,104,0,1747
196898,1,6954,105,0,685
33243,1,5786,106,0,1418
49780,1,7519,107,1,2803
8719,1,8109,108,1,1834
103921,1,6393,109,0,1270
186401,1,6062,110,1,747
113730,1,6121,111,0,1341
29138,1,9001,112,1,1590
199800,1,5880,113,0,3415
117121,1,7552,114,0,3420
180225,1,8654,115,1,3255
83838,1,4786,116,0,1808
185902,1,9123,117,1,3155
31114,1,6229,118,0,2972
142697,1,5722,119,0,774
66277,1,8379,120,0,1113
151533,1,7512,121,0,2895
147010,1,5957,122,1,3370
75256,1,3812,123,0,2316
151936,1,6966,124,0,1327
51556,1,8137,125,0,2971
90084,1,4843,126,0,1506
103366,1,7280,127,0,3229
29911,1,5653,128,0,1694
189029,1,7117,129,0,2289
